label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Text,27,26,14,17,TRAIN_00001.jpg,284,50
Text,45,27,11,16,TRAIN_00001.jpg,284,50
Text,60,27,11,17,TRAIN_00001.jpg,284,50
Text,73,23,15,20,TRAIN_00001.jpg,284,50
Text,91,25,12,18,TRAIN_00001.jpg,284,50
Text,107,25,11,18,TRAIN_00001.jpg,284,50
Text,122,25,13,20,TRAIN_00001.jpg,284,50
Text,140,22,8,21,TRAIN_00001.jpg,284,50
Text,151,23,14,19,TRAIN_00001.jpg,284,50
Text,30,7,10,13,TRAIN_00001.jpg,284,50
Text,41,7,10,13,TRAIN_00001.jpg,284,50
Text,50,8,11,12,TRAIN_00001.jpg,284,50
Text,30,3,10,13,TRAIN_00002.jpg,284,62
Text,40,2,10,14,TRAIN_00002.jpg,284,62
Text,50,2,9,15,TRAIN_00002.jpg,284,62
Text,58,3,9,14,TRAIN_00002.jpg,284,62
Text,68,3,9,14,TRAIN_00002.jpg,284,62
Text,77,1,11,15,TRAIN_00002.jpg,284,62
Text,29,35,14,19,TRAIN_00002.jpg,284,62
Text,44,33,8,21,TRAIN_00002.jpg,284,62
Text,60,36,13,19,TRAIN_00002.jpg,284,62
Text,76,37,13,17,TRAIN_00002.jpg,284,62
Text,90,36,15,21,TRAIN_00002.jpg,284,62
Text,8,14,16,18,TRAIN_00003.jpg,324,44
Text,26,14,10,17,TRAIN_00003.jpg,324,44
Text,42,15,14,18,TRAIN_00003.jpg,324,44
Text,61,17,13,17,TRAIN_00003.jpg,324,44
Text,80,14,15,18,TRAIN_00003.jpg,324,44
Text,25,10,13,15,TRAIN_00004.jpg,284,50
Text,39,9,9,15,TRAIN_00004.jpg,284,50
Text,48,10,13,15,TRAIN_00004.jpg,284,50
Text,24,31,14,16,TRAIN_00004.jpg,284,50
Text,39,32,11,15,TRAIN_00004.jpg,284,50
Text,57,32,13,15,TRAIN_00004.jpg,284,50
Text,70,33,12,13,TRAIN_00004.jpg,284,50
Text,86,33,14,15,TRAIN_00004.jpg,284,50
Text,103,33,13,15,TRAIN_00004.jpg,284,50
Text,80,3,16,18,TRAIN_00005.jpg,388,30
Text,101,1,13,19,TRAIN_00005.jpg,388,30
Text,118,2,12,17,TRAIN_00005.jpg,388,30
Text,136,2,14,18,TRAIN_00005.jpg,388,30
Text,153,1,15,17,TRAIN_00005.jpg,388,30
Text,173,2,14,18,TRAIN_00005.jpg,388,30
Text,5,3,8,13,TRAIN_00005.jpg,388,30
Text,13,4,8,13,TRAIN_00005.jpg,388,30
Text,22,4,8,13,TRAIN_00005.jpg,388,30
Text,30,4,8,13,TRAIN_00005.jpg,388,30
Text,40,3,8,13,TRAIN_00005.jpg,388,30
Text,48,4,11,13,TRAIN_00005.jpg,388,30
Text,62,6,6,11,TRAIN_00005.jpg,388,30
Text,19,7,12,13,TRAIN_00006.jpg,284,31
Text,34,6,11,14,TRAIN_00006.jpg,284,31
Text,51,8,9,12,TRAIN_00006.jpg,284,31
Text,65,5,11,16,TRAIN_00006.jpg,284,31
Text,81,6,12,14,TRAIN_00006.jpg,284,31
Text,13,4,9,14,TRAIN_00007.jpg,388,20
Text,23,4,8,14,TRAIN_00007.jpg,388,20
Text,30,4,10,12,TRAIN_00007.jpg,388,20
Text,40,2,9,14,TRAIN_00007.jpg,388,20
Text,49,3,12,14,TRAIN_00007.jpg,388,20
Text,63,6,6,11,TRAIN_00007.jpg,388,20
Text,83,2,14,18,TRAIN_00007.jpg,388,20
Text,103,3,11,16,TRAIN_00007.jpg,388,20
Text,117,2,13,18,TRAIN_00007.jpg,388,20
Text,136,0,12,18,TRAIN_00007.jpg,388,20
Text,155,3,9,17,TRAIN_00007.jpg,388,20
Text,172,1,14,19,TRAIN_00007.jpg,388,20
Text,5,16,12,15,TRAIN_00008.jpg,388,36
Text,16,16,9,14,TRAIN_00008.jpg,388,36
Text,26,15,11,14,TRAIN_00008.jpg,388,36
Text,38,16,8,12,TRAIN_00008.jpg,388,36
Text,85,13,14,23,TRAIN_00008.jpg,388,36
Text,104,12,15,23,TRAIN_00008.jpg,388,36
Text,122,13,14,21,TRAIN_00008.jpg,388,36
Text,139,13,16,23,TRAIN_00008.jpg,388,36
Text,158,14,12,22,TRAIN_00008.jpg,388,36
Text,175,16,14,19,TRAIN_00008.jpg,388,36
